ID,Topic,Subtopic,Question,Answer
1,Online Grocery FAQs,Delivery and collection basics,Where Tesco delivers to,"We deliver to most UK residential addresses. To check whether we deliver to your address, register your account, visit the grocery homepage, and book your delivery.
If for some reason, we’re unable to deliver to your address, you can still use our Click+Collect service."
2,Online Grocery FAQs,Delivery and collection basics,Delivery and Click+Collect prices,"The standard delivery charge is between £3–£7, depending on location. Click+Collect slot charge is between £0–£2, depending on location.
To start saving on your online deliveries, why not sign up to one of our Delivery Saver plans?
These prices listed above are exclusive of the minimum order value and same day charge."
3,Online Grocery FAQs,Delivery and collection basics,Minimum order value,"A £5 minimum basket charge will be added to delivery orders at the checkout, where the basket value is under our £50 minimum basket value.
You won’t incur this charge in the following situations:
Your final basket is over the £50 minimum basket value.
You make changes to your order after you’ve checked out and the final basket is over the threshold.
If any substitutions are made to your order which result in your basket dropping below the threshold.
If you've incurred the minimum basket charge, you‘ll earn Clubcard points on the charge. This will also apply if you have a Delivery Saver plan – learn more about this below.
The minimum order value for Click+Collect orders is £25 in all stores. If your order is below this threshold, you’ll be charged the £5 minimum basket charge.
You won’t incur this charge in the following situations:
Your final basket is over the threshold for your Click+Collect location.
You make changes to your order after you’ve checked out and the final basket is over the threshold.
If any substitutions are made to your order which result in your basket dropping below the threshold.
If you’ve incurred the minimum basket charge, you’ll earn Clubcard points on the charge. This will also apply if you have a Delivery Saver plan.
It’s all part of the (Delivery Saver) plan
Our subscription-based delivery service reduces the cost of deliveries and collections for your groceries. Depending on which Delivery Saver plan you sign up to, as long as you stay above the minimum basket threshold, orders will be delivered without charge during the times or days outlined in your chosen plan. You can do that once per day for every day your plan is valid.
And with the Delivery Saver Guarantee, if your plan doesn’t save you money, we’ll give you an eCoupon for the difference. For more info and to sign up, go to our Delivery Saver website."
4,Online Grocery FAQs,Delivery and collection basics,Returning an item,Please see our returns policy.
5,Online Grocery FAQs,Ordering online,Slot times and options,"You can choose to get your shopping delivered between 8am-11pm Monday to Friday and 8am-10pm on Saturday and Sunday. In some stores, we offer 6am or 7am slots.
Visit the book a slot page to see slots available in your area.
Delivery and collection options:
Delivery – standard, next day and beyond have a slot length of 1-2 hours
Standard home deliveries are available 7 days a week
Flexi saver – next day and beyond have a slot length of 4 hours
Our cheaper slots offer a 4-hour time window. On the day of delivery, you’ll receive a text confirming your allocated 1-hour time slot. These are available 7 days a week.
Click+Collect - standard, next day and beyond have a slot length of 1-2 hours
Standard Click+Collect – available 7 days a week
"
6,Online Grocery FAQs,Ordering online,Changing delivery or Click+Collect slots,"You can change your slot up until 11:45pm the night before your delivery or Click+Collect date. Selected stores can help change your delivery slot up until 1pm, for same-day delivery or same-day Click+Collect orders. Please check your order confirmation email for more details.
To change the slot you’ve booked while doing your online shop, go to your basket and select ‘Change your slot’.
If you’re using the Tesco Grocery & Clubcard app, tap ‘Make changes’ on the home screen or select ‘My orders’ from the left-hand menu.
If you’ve already checked out and are using the website, select the ‘My orders’ button on the right-hand side of the homepage or go to 'My orders' at the top of the page. This will take you to a list of your orders that are in progress and that can be changed.
If you’re using the mobile app, you can make the same changes from the homepage by selecting ‘Make changes’. You can also do this from the left-hand menu, under ‘My orders’. Select ‘Make changes’, then ‘Change delivery slot’. You can then select a new delivery slot. Finally, tap ‘Update order and check out’ to confirm your new delivery or Click+Collect time.
"
7,Online Grocery FAQs,Ordering online,Updating my delivery and Click+Collect addresses,"To update an address, select ‘My account’, then ‘Phone & address book’. All of your address details should be displayed. Select ‘Add new address’, add your new details and select ‘Save address’ to update. Your new address details will be saved in your address book. Please make sure you select the correct address from your address book when you check out.
If you’re using the Tesco Grocery & Clubcard app, select ‘Add new address’ within the ‘Book a slot’ section. Enter the details required, then select ‘Use this address’. Choose a convenient delivery slot and then tap ‘Begin shopping’.
Remember, changing your delivery address or preferred Click+Collect store may mean that:
Your chosen delivery or Click+Collect slot is no longer available
Products in your shopping basket are no longer available
Different promotions are available to you
You may lose your current slot reservation on your current basket
Once an order has been placed, we can't change the address. The order will need to be cancelled and replaced.
"
8,Online Grocery FAQs,Ordering online,Cancelling an order,"If you're cancelling an order on the website, select ‘My orders’ at the top of the page and then ‘Orders due for delivery.’ You'll see a list of all your orders, including Click+Collect. Find your order in ‘Orders due for delivery,’ then select ‘Cancel this order’. Select ‘Yes’ to confirm.
To make an order cancellation via the Tesco Grocery & Clubcard app, select ‘My orders’ from the left-hand navigation and you'll be able to cancel your order from there.
If you're amending your order, you won't have an option to cancel. To cancel your order from here, checkout your order or select 'cancel changes' – this will close the order and allow you to cancel it. You'll receive an email to confirm the order has been cancelled and you will not be charged.
"
9,Online Grocery FAQs,Ordering online,Amending the number of items in my basket,"To adjust the number of items in your basket, select ‘View full basket’. If you’re using our Tesco & Grocery Clubcard app, tap the basket icon in the top right-hand corner. This will display all the items you have in your basket and their quantities. Find the product you want to adjust and choose the increase (+) or decrease (-) buttons to change the amounts in your basket. It may take a moment to update the basket price."
10,Online Grocery FAQs,Ordering online,Guide prices,"When you make an online order, the total amount is shown as a 'guide price'. Therefore, it may be higher or lower than the final bill you receive for your order. The final payment is the price you would pay if you shopped in-store on the day of your delivery or collection.
Here are some reasons for this:
The price of individual items may be higher or lower than when ordered.
Between placing your order and getting it delivered, there may be new promotions put in place.
We charge loose fruit and veg by weight. So, the final price is based on the ones we pick for you.
Pre-packed, weighed items like meat, poultry and cheese may also vary slightly in price.
"
